employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
22,Michael Garcia,33,Engineer,143090.07,Alpha,1991-10-19,Finance
122,John Diaz,23,Developer,132962.99,Alpha,1985-10-03,Finance
184,Jennifer Nguyen,28,Developer,124135.74,Alpha,1976-02-05,Finance
287,Cheryl Schneider,34,Engineer,59151.05,Alpha,2016-10-01,Finance
289,Roberto Henry PhD,48,Developer,98883.28,Alpha,1978-11-11,Finance
293,Jordan Henderson,24,Engineer,63999.55,Alpha,1991-12-14,Finance
349,Brandi Martin,50,Manager,119188.42,Alpha,1983-10-17,Finance
447,Elizabeth Gardner,29,Engineer,126782.95,Alpha,2009-03-21,Finance
490,Gregory Green,50,Engineer,95970.98,Alpha,1978-04-04,Finance
491,Edward Allen,27,Analyst,103557.73,Alpha,2015-11-22,Finance
519,Jenny Martinez,28,Manager,61755.27,Alpha,2002-04-21,Finance
525,Margaret Hooper,57,Consultant,67413.74,Alpha,2021-04-12,Finance
526,Marissa Kaiser,48,Manager,114885.38,Alpha,1996-10-18,Finance
568,Adam Sloan,43,Developer,132516.76,Alpha,1999-11-10,Finance
610,Nancy Matthews,42,Analyst,45987.6,Alpha,1984-12-31,Finance
683,Thomas Nixon,24,Analyst,83611.28,Alpha,1983-09-12,Finance
714,Michael Grant,43,Engineer,127657.53,Alpha,2003-09-05,Finance
732,Hannah Wallace,31,Engineer,129813.83,Alpha,2015-06-07,Finance
754,Zachary Sutton,42,Consultant,68187.86,Alpha,2017-08-06,Finance
787,Sabrina Blair,41,Engineer,132430.71,Alpha,2017-11-26,Finance
867,Cheyenne Conley DVM,55,Manager,81673.58,Alpha,1970-05-02,Finance
890,Thomas Smith,59,Consultant,97063.25,Alpha,2005-11-25,Finance
915,Stephanie Medina,52,Engineer,53404.51,Alpha,1989-01-25,Finance
940,Tara Carrillo,52,Consultant,50727.25,Alpha,1998-05-31,Finance
955,Mark Fernandez,52,Developer,115431.81,Alpha,1978-01-15,Finance
983,David Schmidt,38,Analyst,76089.45,Alpha,1994-11-21,Finance
990,David Copeland,40,Manager,52841.06,Alpha,1995-05-22,Finance
112,Sierra Velasquez,28,Consultant,69917.92,Alpha,1982-01-08,HR
213,Travis Thornton,52,Engineer,71415.71,Alpha,2017-08-16,HR
218,Joshua Day,47,Manager,105225.08,Alpha,2002-07-19,HR
239,Thomas Salinas,26,Developer,116235.71,Alpha,2004-02-08,HR
281,Ryan Mayo,51,Engineer,52369.11,Alpha,1990-01-18,HR
